Reported Date,Total Dead and Missing,Location Coordinates
"April 08, 2023",1,"18.15065801, -94.465188"
"April 07, 2023",1,"27.47852845, -99.479864"
"April 06, 2023",1,"32.5446886, -117.001332"
"April 12, 2023",1,"32.8499379, 22.424469"
"April 12, 2023",1,"32.89398375, 13.163311"
"April 16, 2023",4,"40.88026438, 25.877499"
"April 09, 2023",1,"45.13348146, 19.190901"
"March 09, 2023",1,"44.98279529, 19.641483"
"April 18, 2023",1,"53.31423248, 20.693288"
"January 08, 2023",1,"32.00007, -111.3269"
"January 18, 2023",1,"31.33550011, -110.293348"
"January 18, 2023",1,"32.35981, -113.11644"
"January 20, 2023",1,"31.76682, -111.0998"
"January 30, 2023",1,"31.3505372, -110.802624"
"February 05, 2023",1,"32.280741, -109.829958"
"February 05, 2023",1,"32.280741, -109.829958"
"February 05, 2023",1,"32.280741, -109.829958"
"February 06, 2023",1,"31.898825, -111.146407"
"February 07, 2023",1,"32.41946, -111.69153"
"February 08, 2023",1,"31.38842, -109.75703"
"February 08, 2023",1,"32.02348, -112.96187"
"February 10, 2023",1,"31.86746, -110.88667"
"February 12, 2023",1,"31.91034, -111.78593"
"February 13, 2023",1,"31.49456, -110.77412"
"February 16, 2023",1,"31.897861, -111.390506"
"February 18, 2023",1,"31.69235, -110.87656"
"February 18, 2023",1,"31.69421, -110.87716"
"February 24, 2023",1,"31.993, -110.176"
"February 25, 2023",1,"32.08369, -111.02767"
"March 01, 2023",1,"31.7012, -111.624"
"March 02, 2023",1,"32.01308408, -111.992132"
"March 03, 2023",1,"32.2089, -111.18503"
"March 03, 2023",1,"31.59236, -111.36519"
"March 08, 2023",1,"31.960493, -112.133909"
"March 08, 2023",1,"31.992774, -112.123053"
"March 13, 2023",1,"32.31692, -113.14223"
"March 14, 2023",1,"32.19323, -112.8705"
"March 18, 2023",1,"32.163554, -112.93559"
"March 22, 2023",1,"31.783223, -111.624052"
"March 28, 2023",1,"31.64694, -111.00583"
"March 29, 2023",1,"31.93013, -111.91537"
"March 29, 2023",1,"32.363, -111.6278"
"April 18, 2023",15,"34.99923876, 11.325756"
"March 13, 2023",1,"44.5317838, 19.220564"
"April 12, 2023",1,"28.79750095, -100.534466"
"April 12, 2023",1,"28.69608883, -100.511006"
"January 27, 2023",1,"32.54129133, -117.047415"
"April 14, 2023",1,"28.60852075, -100.444257"
"April 13, 2023",1,"27.42039536, -99.490932"
"April 16, 2023",1,"28.6186814, -100.444981"
"April 19, 2023",1,"41.14856623, 22.512789"
"April 10, 2023",1,"52.84605251, 23.998934"
"April 18, 2023",60,"32.84315119, 12.44173492"
"April 19, 2023",5,"32.52878269, 14.624331"
"April 15, 2023",1,"26.09978266, 13.483829"
"April 21, 2023",1,"32.90704937, 21.959054"
"April 15, 2023",2,"32.6779507, 19.300632"
"April 25, 2023",1,"33.22129272, 13.97705"
"April 25, 2023",3,"33.22129272, 13.97705"
"April 25, 2023",6,"33.22129272, 13.97705"
"April 25, 2023",45,"33.22129272, 13.97705"
"April 27, 2023",0,"33.22129272, 13.97705"
"April 24, 2023",22,"35.33032554, 12.567814"
"April 18, 2023",1,"35.34032554, 12.767814"
"April 18, 2023",1,"35.32032554, 12.778139"
"April 08, 2023",1,"34.82669485, 10.990753"
"April 19, 2023",1,"34.84076247, -2.866891"
"April 22, 2023",1,"52.66159198, 23.499739"
"April 19, 2023",1,"36.27511758, 22.401207"
"April 24, 2023",4,"35.33032554, 12.567814"
"April 24, 2023",6,"35.33032554, 12.567814"
"April 24, 2023",1,"35.33032554, 12.567814"
"April 18, 2023",19,"28.5726333, -11.975857"
"February 02, 2023",1,"9.562389, 44.077011"
"March 09, 2023",2,"9.937059947, 43.175238"
"March 12, 2023",3,"8.281919, 47.211799"
"March 20, 2023",1,"9.36108468, 43.202953"
"March 27, 2023",1,"10.262252, 45.05155"
"April 01, 2023",1,"11.2832207, 49.18142"
"April 17, 2023",1,"52.31064447, 4.768272"
"April 18, 2023",1,"28.3368505, -100.308782"
"April 19, 2023",1,"17.67036139, -95.029774"
"April 18, 2023",1,"-22.45034019, -68.929016"
"April 21, 2023",1,"26.09433992, -98.271092"
"April 20, 2023",1,"28.72929274, -100.508216"
"April 21, 2023",1,"28.66335582, -100.501457"
"April 23, 2023",3,"29.30268897, -100.399482"
"April 11, 2023",2,"8.43873263, -77.623769"
"April 25, 2023",1,"15.14519326, -92.467382"
"April 18, 2023",2,"36.18898912, -1.439646082"
"April 29, 2023",3,"35.4391568, 12.46888386"
"May 01, 2023",1,"35.4391568, 12.46888386"
"April 28, 2023",2,"35.15672903, 11.053402"
"April 29, 2023",6,"35.15672903, 11.053402"
"April 30, 2023",7,"35.18458112, 11.090508"
"May 01, 2023",2,"35.22576496, 11.123559"
"May 02, 2023",1,"35.22576496, 11.123559"
"May 02, 2023",1,"32.52878269, 14.624331"
"May 03, 2023",9,"31.75594591, 14.027449"
"April 20, 2023",1,"55.68072101, 26.679058"
"May 04, 2023",3,"39.31457034, 26.605164"
"April 23, 2023",4,"23.2703811, -102.329773"
"April 25, 2023",1,"28.75623457, -100.48782"
"February 19, 2023",1,"45.0048718, -72.109531"
"April 30, 2023",1,"25.88751275, -97.523191"
"May 01, 2023",1,"25.89790937, -97.497383"
"April 18, 2023",11,"34.86097479, 11.043964"
"April 19, 2023",10,"34.86097479, 11.043964"
"April 20, 2023",14,"34.86097479, 11.043964"
"April 21, 2023",15,"34.86097479, 11.043964"
"April 22, 2023",29,"34.86097479, 11.043964"
"April 23, 2023",30,"34.86097479, 11.043964"
"April 24, 2023",29,"34.86097479, 11.043964"
"April 25, 2023",29,"34.86097479, 11.043964"
"April 26, 2023",21,"34.86097479, 11.043964"
"April 27, 2023",22,"34.86097479, 11.043964"
"May 07, 2023",4,"34.9929426, 10.955325"
"May 05, 2023",1,"35.49697955, 12.604661"
"May 05, 2023",1,"35.49297506, 12.600504"
"May 05, 2023",3,"35.45978426, 12.547095"
"May 02, 2023",28,"33.75321737, -7.297968"
"May 07, 2023",14,"34.68919937, 10.738329"
"May 08, 2023",5,"35.39988718, 11.039174"
"May 09, 2023",1,"35.50695801, 11.076716"
"May 10, 2023",1,"32.47808041, 14.642195"
"May 11, 2023",2,"32.25830917, 22.8536"
"May 03, 2023",1,"28.33137729, -100.303946"
"May 04, 2023",2,"28.9539416, -99.638822"
"May 04, 2023",1,"27.4994206, -99.505196"
"May 07, 2023",8,"25.92343431, -97.431816"
"May 07, 2023",1,"28.72373782, -100.508415"
"April 03, 2023",1,"32.59660815, -114.615107"
"May 09, 2023",1,"28.81454602, -100.346002"
"May 08, 2023",1,"25.8924766, -97.503815"
"May 10, 2023",1,"50.93877074, 1.906991"
"May 10, 2023",1,"27.89956215, -82.714809"
"April 23, 2023",1,"52.80950129, 23.938674"
"May 05, 2023",1,"53.04525704, 23.55991"
"May 06, 2023",1,"53.04525704, 23.55991"
"March 27, 2023",7,"31.70111395, -106.447054"
"March 27, 2023",17,"31.70111395, -106.447054"
"March 27, 2023",6,"31.70111395, -106.447054"
"March 27, 2023",1,"31.70111395, -106.447054"
"March 27, 2023",8,"31.70111395, -106.447054"
"March 28, 2023",1,"31.70111395, -106.447054"
"May 16, 2023",1,"35.89173221, -5.31639"
"May 13, 2023",1,"32.81451278, 12.454624"
"May 17, 2023",1,"26.19396009, -97.693878"
"May 11, 2023",1,"14.96425454, -92.14738"
"May 11, 2023",1,"28.70380312, -100.512205"
"May 11, 2023",1,"29.32778504, -100.929762"
"May 12, 2023",1,"27.4715254, -99.483648"
"May 11, 2023",1,"29.33829718, -100.942323"
"May 14, 2023",3,"8.454776871, -77.673286"
"May 13, 2023",1,"-33.61863737, -70.590614"
"May 15, 2023",1,"31.73905444, -106.48326"
"May 15, 2023",1,"27.68529784, -101.2992"
"May 18, 2023",1,"54.29384187, 23.250609"
"May 18, 2023",1,"54.29384187, 23.250609"
"May 15, 2023",9,"35.56372364, 8.378435"
"April 18, 2023",15,"34.98647523, 11.574175"
"May 19, 2023",1,"45.7829178, 19.107478"
"May 24, 2023",1,"53.19071809, 23.876153"
"May 21, 2023",2,"41.89594357, 26.883812"
"May 18, 2023",1,"31.74892004, -106.481255"
"May 20, 2023",1,"14.43383063, -89.182827"
"May 19, 2023",1,"-20.23072243, -70.135697"
"May 26, 2023",9,"37.58309259, 25.390715"
"May 19, 2023",9,"22.95857796, 106.53871"
"May 24, 2023",3,"33.97105991, 10.061842"
"May 23, 2023",1,"24.50381509, -15.080239"
"May 23, 2023",1,"24.50381509, -15.080239"
"May 17, 2023",1,"28.66144, -100.540679"
"May 17, 2023",1,"22.45339872, -100.699729"
"May 31, 2023",4,"34.71729773, 10.774245"
"May 31, 2023",1,"50.96905922, 1.945131"
"May 29, 2023",1,"32.46867686, 20.482468"
"May 31, 2023",1,"15.1560124, 98.449524"
"May 24, 2023",1,"14.92175497, -92.251268"
"May 17, 2023",1,"28.70636802, -100.512988"
"May 25, 2023",1,"26.1282623, -98.329562"
"May 31, 2023",6,"34.74602077, 10.911206"
"May 31, 2023",41,"34.74602077, 10.911206"
"June 04, 2023",1,"35.94545551, -5.540476"
"May 31, 2023",1,"42.33306902, 21.95461367"
"May 25, 2023",1,"49.00029415, -97.244865"
"June 06, 2023",1,"53.2169472, 23.85989"
"June 02, 2023",9,"35.66742016, 10.916253"
"June 09, 2023",2,"36.74129313, -3.0203"
"April 16, 2023",1,"11.105434, 42.370474"
"April 16, 2023",1,"11.791311, 42.879623"
"April 16, 2023",1,"11.791311, 42.879623"
"April 16, 2023",1,"11.105434, 42.370474"
"April 16, 2023",1,"11.51588, 43.13368"
"May 31, 2023",1,"29.08386068, -100.471209"
"June 03, 2023",1,"-29.95454057, -71.335671"
"May 21, 2023",1,"31.7669031, -106.494687"
"June 02, 2023",1,"18.22800859, -72.31762"
"June 05, 2023",3,"36.63876882, 2.113519"
"June 05, 2023",17,"36.63876882, 2.113519"
"June 08, 2023",1,"32.82541911, 13.742469"
"June 08, 2023",2,"32.82541911, 13.742469"
"June 08, 2023",3,"32.82541911, 13.742469"
"June 08, 2023",4,"32.82541911, 13.742469"
"June 08, 2023",10,"32.82541911, 13.742469"
"June 10, 2023",1,"32.79312907, 12.627084"
"June 10, 2023",1,"32.3589058, 20.314886"
"June 11, 2023",1,"32.3589058, 20.314886"
"June 12, 2023",1,"32.46867686, 20.482468"
"June 14, 2023",1,"32.46469887, 20.471156"
"June 14, 2023",596,"36.18, 21.04"
"June 20, 2023",36,"27.01761464, -13.997828"
"June 20, 2023",1,"29.06136099, -13.384753"
"June 06, 2023",1,"45.77782028, 14.22096"
"June 08, 2023",1,"19.29392472, -69.200032"
"June 10, 2023",1,"-18.31138895, -70.231332"
"June 10, 2023",1,"28.72943903, -100.508259"
"June 12, 2023",1,"28.70539194, -100.51233"
"June 12, 2023",1,"27.10927688, -104.873481"
"June 13, 2023",1,"28.68078146, -100.507557"
"May 07, 2023",1,"28.50694826, -99.860791"
"June 18, 2023",1,"28.81185588, -100.519549"
"June 18, 2023",1,"28.66337, -100.501419"
"June 16, 2023",1,"28.69684489, -100.511034"
"June 12, 2023",1,"28.66411021, -100.552215"
"April 26, 2023",1,"31.73452516, -106.458615"
"June 20, 2023",1,"28.66377364, -100.507392"
"June 16, 2023",1,"32.46469887, 20.471156"
