Reported Date,Total Dead and Missing,Location Coordinates
"April 10, 2019",1,"32.277903333870, -111.987980970360"
"April 10, 2019",3,"12.699137000000, -8.023181000000"
"April 10, 2019",1,"11.139841000000, 2.929701000000"
"April 09, 2019",11,"14.081062000000, -3.082222000000"
"April 08, 2019",1,"32.679779166203, -115.449979361940"
"April 07, 2019",1,"20.249934738650, -99.662936105483"
"April 07, 2019",1,"39.081226157667, 26.818093010372"
"April 07, 2019",2,"36.305288575963, 28.199649284451"
"April 07, 2019",1,"12.699137000000, -8.023181000000"
"April 07, 2019",3,"11.349313000000, -5.665146000000"
"April 06, 2019",2,"31.813108232759, -106.799261942820"
"April 06, 2019",1,"31.560957644044, -109.166870455020"
"April 06, 2019",1,"36.287447264207, 28.186812824077"
"April 05, 2019",1,"36.239751185237, 36.687511301826"
"April 05, 2019",1,"27.425562771055, -99.480615395167"
"April 05, 2019",1,"27.476619774726, -99.481873324173"
"April 03, 2019",1,"23.260560931726, -102.337369154380"
"April 03, 2019",2,"27.346667452993, 62.389230409872"
"April 02, 2019",1,"35.358181389497, -3.963637678454"
"April 02, 2019",1,"31.757616100000, -112.418688400000"
"April 01, 2019",1,"35.980298764742, -5.773669680016"
"April 01, 2019",50,"33.307272561547, 12.308126102977"
"April 01, 2019",1,"32.089555693789, -112.906494140620"
"March 31, 2019",1,"41.420003176858, 22.222123150364"
"March 31, 2019",1,"44.983703900000, 15.476410700000"
"March 31, 2019",19,"21.544304856421, -72.464247663854"
"March 31, 2019",1,"17.736681000000, 34.037046000000"
"March 31, 2019",1,"23.527344000000, 22.255737000000"
"March 30, 2019",1,"32.331803200000, -112.524509300000"
"March 29, 2019",1,"40.880966337291, 26.221849980838"
"March 28, 2019",2,"38.362368696592, 26.172509473654"
"March 27, 2019",2,"11.127705000000, -4.316257000000"
"March 27, 2019",2,"10.667984000000, -14.558985000000"
"March 27, 2019",1,"-0.339543000000, 42.547825000000"
"March 26, 2019",1,"32.057499000000, -111.666072500000"
"March 26, 2019",4,"39.441975591614, 26.378816195919"
"March 26, 2019",1,"35.871901875921, -5.343037665842"
"March 26, 2019",1,"35.635115912988, -5.275650103548"
"March 25, 2019",1,"19.334475177429, -98.069823987538"
"March 24, 2019",2,"27.403037241929, -99.478838604955"
"March 24, 2019",1,"40.886871122341, 26.249464612210"
"March 24, 2019",1,"40.858181570833, 26.233806481109"
"March 24, 2019",3,"12.432517000000, -1.520122000000"
"March 24, 2019",1,"12.135542000000, 15.133711000000"
"March 23, 2019",1,"32.057499000000, -111.666072500000"
"March 23, 2019",10,"13.865704814542, 99.587248723929"
"March 23, 2019",8,"35.317034468315, 11.078928258810"
"March 23, 2019",41,"32.837325915454, 12.432737422718"
"March 22, 2019",1,"35.324581077512, -2.955065558274"
"March 22, 2019",1,"14.767910000000, -17.263067000000"
"March 22, 2019",1,"11.154918000000, -1.142613000000"
"March 22, 2019",2,"12.479276000000, 1.521893000000"
"March 22, 2019",1,"12.167129000000, -0.343710000000"
"March 21, 2019",1,"32.057499000000, -111.666072500000"
"March 21, 2019",1,"32.057499000000, -111.666072500000"
"March 21, 2019",1,"11.115414000000, 0.009824000000"
"March 21, 2019",1,"6.362728000000, 2.300038000000"
"March 21, 2019",1,"10.621309000000, -4.744354000000"
"March 21, 2019",1,"6.765396000000, 47.412245000000"
"March 20, 2019",1,"24.057148900000, -105.457669800000"
"March 20, 2019",5,"16.230954000000, -0.019296000000"
"March 19, 2019",4,"32.816243467052, 12.530851413107"
"March 19, 2019",1,"35.320534947419, -2.951115676707"
"March 19, 2019",2,"0.439018000000, 9.483392000000"
"March 19, 2019",1,"12.699137000000, -8.023181000000"
"March 19, 2019",1,"12.432517000000, -1.520122000000"
"March 19, 2019",1,"12.432517000000, -1.520122000000"
"March 18, 2019",3,"35.267895220573, -2.799562392362"
"March 17, 2019",1,"25.563914159609, -103.492111622910"
"March 17, 2019",19,"29.425766218075, -10.453333285156"
"March 17, 2019",1,"17.736681000000, 34.037046000000"
"March 17, 2019",3,"17.736681000000, 34.037046000000"
